id,time,type,building,address,area,price,floor
0,2023/07/31,整層住家,電梯大樓,高雄市前金區成功一路,30.0,13800,6 / 7
1,2023/07/03,店面,透天厝,高雄市前金區大同一路,62.39,30000,1 / 4
2,2023/03/27,住店,透天厝,高雄市前金區文武二街,47.59,26000,1 / 3
3,2023/03/25,店面,透天厝,高雄市前金區文武二街,47.59,26000,1 / 4
4,2023/03/25,店面,透天厝,高雄市前金區文武二街,47.59,26000,1 / 4
5,2023/03/25,店面,透天厝,高雄市前金區文武二街,47.59,26000,1 / 4
6,2023/02/22,辦公,電梯大樓,高雄市前金區五福三路,22.71,23000,15 / 16
7,2022/10/24,獨立套房,電梯大樓,高雄市前金區育才街,5.5,4500,4 / 6
8,2022/08/16,獨立套房,透天厝,高雄市前金區育才街,5.5,4500,4 / 6
9,2022/08/16,獨立套房,透天厝,高雄市前金區育才街,5.5,4500,4 / 6
10,2022/03/01,整層住家,電梯大樓,高雄市前金區中山橫路,27.38,17500,9 / 12
11,2022/02/28,整層住家,電梯大樓,高雄市前金區六合二路,10.99,23000,14 / 26
12,2022/02/28,整層住家,電梯大樓,高雄市前金區六合二路,10.99,23000,14 / 26
13,2022/01/25,獨立套房,電梯大樓,高雄市前金區河南二路,10.77,10000,13 / 20
14,2021/09/19,獨立套房,透天厝,高雄市前金區自立一路,6.5,4500,5 / 6
15,2021/09/19,獨立套房,透天厝,高雄市前金區自立一路,6.5,4500,5 / 6
16,2021/07/19,整層住家,電梯大樓,高雄市前金區中山橫路,27.38,17500,9 / 12
17,2021/07/19,整層住家,電梯大樓,高雄市前金區中山橫路,27.38,17500,9 / 12
18,2021/05/03,整層住家,電梯大樓,高雄市前金區中山橫路,27.38,17500,9 / 12
19,2021/01/21,獨立套房,電梯大樓,高雄市前金區新盛二街,6.71,6000,7 / 8
20,2020/06/13,辦公,電梯大樓,高雄市前金區五福三路,22.71,23000,15 / 16
21,2020/02/04,獨立套房,透天厝,高雄市前金區育才街,7.0,5000,3 / 5
22,2019/07/01,整層住家,電梯大樓,高雄市前金區新盛二街,25.6,24000,7 / 15
