,time,type,building,address,area,price,floor
0,成交時間,用途,型態,路段,坪數,租金,樓層
1,2024/01/29,店面,電梯大樓,新北市蘆洲區九芎街,101坪,"110,000元",1 / 6
2,2024/01/23,廠辦,,新北市蘆洲區九芎街,101坪,"110,000元",1 / 
3,2024/01/19,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,"23,000元",2 / 8
4,2023/12/30,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,"23,000元",2 / 8
5,2023/12/28,整層住家,電梯大樓,新北市蘆洲區中央路,29.6坪,"39,000元",2 / 15
6,2023/11/01,辦公,電梯大樓,新北市蘆洲區中山二路,74.6坪,"59,000元",4 / 7
7,2023/10/23,廠辦,,新北市蘆洲區中山二路,74坪,"59,000元",4 / 
8,2023/10/20,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
9,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
10,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
11,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
12,2023/10/17,廠辦,,新北市蘆洲區中山二路,74.62坪,"59,000元",4 / 
13,2023/10/12,整層住家,電梯大樓,新北市蘆洲區集賢路,79.46坪,"68,999元",11 / 14
14,2023/10/05,整層住家,電梯大樓,新北市蘆洲區光明路,27坪,"30,000元",3 / 9
15,2023/09/28,店面,電梯大樓,新北市蘆洲區三民路,32.07坪,"50,962元",1 / 24
16,2023/09/25,整層住家,電梯大樓,新北市蘆洲區三民路,61.57坪,"46,416元",12 / 24
17,2023/09/08,廠房,,新北市蘆洲區國道路二段,146坪,"150,000元",7 / 7
18,2023/09/07,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
19,2023/09/06,車位,,新北市蘆洲區復興路,4坪,"4,000元",
20,2023/09/04,雅房,電梯大樓,新北市蘆洲區永安北路一段,7坪,"7,600元",3 / 5
21,2023/08/29,雅房,無電梯公寓,新北市蘆洲區中興街,30坪,"27,000元",1 / 5
22,2023/08/25,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"10,000元",3 / 5
23,2023/08/22,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,999元",5 / 5
24,2023/08/18,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
25,2023/07/15,獨立套房,電梯大樓,新北市蘆洲區光明路,7坪,"8,500元",5 / 5
26,成交時間,用途,型態,路段,坪數,租金,樓層
27,2023/06/18,整層住家,電梯大樓,新北市蘆洲區集賢路,45.16坪,"35,000元",13 / 15
28,2023/05/05,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"8,500元",5 / 5
29,2023/04/26,獨立套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,500元",5 / 5
30,2023/04/19,店面,無電梯公寓,新北市蘆洲區中山二路,30坪,"45,000元",1 / 5
31,2023/03/30,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
32,2023/03/24,整層住家,電梯大樓,新北市蘆洲區仁愛街,43坪,"27,000元",5 / 9
33,2023/03/01,店面,電梯大樓,新北市蘆洲區中正路,57坪,"85,000元",1 / 8
34,2023/01/30,整層住家,電梯大樓,新北市蘆洲區光復路,69.1坪,"58,000元",2 / 12
35,2023/01/30,整層住家,電梯大樓,新北市蘆洲區光復路,69.1坪,"58,000元",2 / 12
36,2023/01/18,整層住家,無電梯公寓,新北市蘆洲區中正路,16坪,"20,000元",5 / 5
37,2022/12/29,獨立套房,無電梯公寓,新北市蘆洲區中正路,28坪,"18,000元",4 / 5
38,2022/12/21,整層住家,電梯大樓,新北市蘆洲區中正路,25坪,"18,000元",8 / 8
39,2022/12/20,店面,無電梯公寓,新北市蘆洲區中山一路,99坪,"220,000元",1 / 5
40,2022/12/20,店面,無電梯公寓,新北市蘆洲區長樂路,45坪,"58,000元",1 / 5
41,2022/12/16,整層住家,無電梯公寓,新北市蘆洲區復興路,20坪,"17,500元",3 / 4
42,2022/12/05,分租套房,無電梯公寓,新北市蘆洲區長安街,7坪,"10,500元",5 / 5
43,2022/10/23,整層住家,電梯大樓,新北市蘆洲區中興街,25坪,"24,000元",4 / 14
44,2022/10/19,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
45,2022/10/17,獨立套房,無電梯公寓,新北市蘆洲區長安街,10坪,"10,500元",5 / 5
46,2022/10/12,店面,無電梯公寓,新北市蘆洲區民權路,32.18坪,"45,000元",1 / 5
47,2022/10/12,店面,無電梯公寓,新北市蘆洲區民權路,32.18坪,"45,000元",1 / 5
48,2022/10/06,廠辦,,新北市蘆洲區仁愛街,527坪,"300,000元",1 / 
49,2022/10/06,獨立套房,無電梯公寓,新北市蘆洲區長安街,9坪,"9,000元",5 / 5
50,2022/10/04,店面,電梯大樓,新北市蘆洲區中原路,70坪,"72,000元",1 / 6
51,2022/09/18,整層住家,電梯大樓,新北市蘆洲區民族路,28.57坪,"28,800元",4 / 8
52,成交時間,用途,型態,路段,坪數,租金,樓層
53,2022/09/15,店面,電梯大樓,新北市蘆洲區三民路,23坪,"25,000元",1 / 8
54,2022/09/15,整層住家,電梯大樓,新北市蘆洲區三民路,36坪,"27,000元",2 / 8
55,2022/09/14,分租套房,無電梯公寓,新北市蘆洲區中山二路,8坪,"10,800元",4 / 4
