id,time,type,building,address,area,price,floor
0,2024/01/31,整層住家,電梯大樓,台北市大安區仁愛路四段,16.59,"51,999",6 / 9
1,2024/01/30,整層住家,電梯大樓,台北市士林區承德路四段,34.86,"43,899",4 / 10
2,2024/01/30,整層住家,電梯大樓,台北市中正區和平西路二段,21.2,"37,999",5 / 9
3,2024/01/29,獨立套房,電梯大樓,台北市大安區四維路,8,"18,800",6 / 7
4,2024/01/29,整層住家,電梯大樓,台北市中山區中山北路二段,42.27,"49,999",4 / 8
5,2024/01/29,整層住家,電梯大樓,台北市中山區合江街,73.16,"70,000",7 / 7
6,2024/01/29,整層住家,無電梯公寓,台北市南港區福德街,30,"23,000",2 / 5
7,2024/01/29,整層住家,電梯大樓,台北市萬華區長沙街二段,34,"29,000",8 / 11
8,2024/01/28,獨立套房,電梯大樓,台北市大安區仁愛路三段,6,"10,000",7 / 7
9,2024/01/27,整層住家,電梯大樓,台北市萬華區長沙街二段,34,"29,000",8 / 11
10,2024/01/26,整層住家,電梯大樓,台北市北投區明德路,26.5,"36,000",9 / 11
11,2024/01/26,整層住家,電梯大樓,台北市中正區南昌路二段,15.39,"29,999",2 / 12
12,2024/01/26,整層住家,電梯大樓,台北市萬華區環河南路二段,27.3,"45,888",22 / 24
13,2024/01/26,整層住家,電梯大樓,台北市大安區和平東路一段,25.28,"49,999",8 / 14
14,2024/01/24,整層住家,無電梯公寓,台北市北投區致遠一路一段,32.34,"32,000",3 / 5
15,2024/01/24,整層住家,無電梯公寓,台北市北投區中央南路一段,31,"31,000",2 / 5
16,2024/01/24,整層住家,電梯大樓,台北市北投區光明路,16,"19,900",8 / 12
17,2024/01/24,整層住家,無電梯公寓,台北市信義區忠孝東路五段,25,"35,000",3 / 4
18,2024/01/24,住辦,電梯大樓,台北市中山區復興北路,13,"25,000",5 / 16
19,2024/01/23,獨立套房,電梯大樓,台北市萬華區成都路,12.5,"25,000",11 / 14
20,2024/01/23,獨立套房,電梯大樓,台北市萬華區成都路,12.5,"25,000",11 / 14
21,2024/01/23,獨立套房,電梯大樓,台北市萬華區成都路,12.5,"25,000",11 / 14
22,2024/01/23,獨立套房,電梯大樓,台北市中山區建國北路一段,9.82,"24,998",5 / 13
23,2024/01/23,車位,,台北市中正區羅斯福路三段,5.4,"4,000",
24,2024/01/23,車位,,台北市大同區民生西路,6.85,"4,000",
25,2024/01/22,分租套房,透天厝,台北市北投區大同街,5,"10,000",2 / 3
26,2024/01/22,整層住家,電梯大樓,台北市南港區忠孝東路六段,27.68,"36,000",3 / 7
27,2024/01/22,整層住家,電梯大樓,台北市中山區南京西路,53.9,"76,999",15 / 15
28,2024/01/20,獨立套房,無電梯公寓,台北市北投區建民路,12,"17,000",1 / 4
29,2024/01/19,整層住家,電梯大樓,台北市北投區溫泉路,20.18,"19,000",10 / 12
30,2024/01/19,整層住家,電梯大樓,台北市北投區溫泉路,20.18,"19,000",10 / 12
31,2024/01/19,辦公,電梯大樓,台北市中山區林森北路,100,"125,000",6 / 13
32,2024/01/19,辦公,電梯大樓,台北市中山區林森北路,100,"125,000",6 / 13
33,2024/01/18,整層住家,無電梯公寓,台北市士林區文昌路,30,"25,000",3 / 4
34,2024/01/18,整層住家,無電梯公寓,台北市士林區文昌路,30,"25,000",3 / 4
35,2024/01/18,整層住家,電梯大樓,台北市北投區稻香路,36.9,"45,000",5 / 5
36,2024/01/18,整層住家,電梯大樓,台北市北投區稻香路,36.9,"45,000",5 / 5
37,2024/01/18,店面,電梯大樓,台北市文山區景興路,236,"195,000",2 / 18
38,2024/01/17,整層住家,電梯大樓,台北市大安區忠孝東路四段,41.38,"49,995",5 / 7
39,2024/01/17,辦公,電梯大樓,台北市信義區松德路,73.82,"150,000",20 / 30
40,2024/01/16,住辦,電梯大樓,台北市大安區仁愛路四段,31.24,"45,000",4 / 12
41,2024/01/16,住辦,電梯大樓,台北市大安區仁愛路四段,31.24,"45,000",4 / 12
42,2024/01/16,整層住家,電梯大樓,台北市內湖區成功路四段,75,"159,999",10 / 29
43,2024/01/16,住辦,電梯大樓,台北市中山區伊通街,47.05,"52,999",3 / 7
44,2024/01/16,整層住家,電梯大樓,台北市大安區忠孝東路三段,35.6,"50,000",7 / 7
45,2024/01/16,整層住家,電梯大樓,台北市萬華區長沙街二段,22.18,"47,999",8 / 15
46,2024/01/16,整層住家,電梯大樓,台北市文山區興隆路三段,45.79,"53,799",3 / 17
47,2024/01/16,辦公,無電梯公寓,台北市大安區和平東路三段,32,"39,999",2 / 4
48,2024/01/16,整層住家,電梯大樓,台北市大安區臥龍街,34.7,"44,999",3 / 14
49,2024/01/16,整層住家,無電梯公寓,台北市大安區敦化南路一段,28,"38,999",3 / 4
50,2024/01/16,整層住家,無電梯公寓,台北市內湖區民權東路六段,31,"39,800",2 / 5
51,2024/01/16,整層住家,電梯大樓,台北市大安區復興南路一段,25,"38,000",4 / 12
52,2024/01/16,整層住家,電梯大樓,台北市信義區松仁路,20.31,"37,998",5 / 9
53,2024/01/16,整層住家,電梯大樓,台北市大同區迪化街二段,19,"35,000",3 / 5
54,2024/01/16,整層住家,電梯大樓,台北市大安區敦化南路二段,23.04,"35,000",6 / 6
55,2024/01/16,整層住家,電梯大樓,台北市大安區敦化南路二段,23.04,"35,000",6 / 6
56,2024/01/16,整層住家,電梯大樓,台北市中山區合江街,19.81,"34,999",5 / 5
57,2024/01/16,獨立套房,電梯大樓,台北市大安區復興南路一段,7,"19,000",5 / 12
58,2024/01/16,獨立套房,電梯大樓,台北市大安區泰順街,7,"13,500",3 / 6
59,2024/01/16,獨立套房,電梯大樓,台北市大安區泰順街,7,"13,500",3 / 6
60,2024/01/16,獨立套房,電梯大樓,台北市大安區泰順街,7,"13,500",3 / 6
61,2024/01/16,獨立套房,電梯大樓,台北市大安區泰順街,7,"13,500",3 / 6
62,2024/01/16,辦公,電梯大樓,台北市北投區文林北路,105.91,"137,500",2 / 23
63,2024/01/15,整層住家,無電梯公寓,台北市信義區忠孝東路五段,45,"55,000",5 / 7
64,2024/01/15,整層住家,無電梯公寓,台北市信義區忠孝東路五段,45,"55,000",5 / 7
65,2024/01/15,整層住家,無電梯公寓,台北市信義區忠孝東路五段,45,"55,000",5 / 7
66,2024/01/15,辦公,無電梯公寓,台北市士林區德行東路,29.95,"39,500",1 / 5
67,2024/01/15,整層住家,電梯大樓,台北市北投區文林北路,59,"59,000",6 / 14
68,2024/01/15,整層住家,無電梯公寓,台北市內湖區東湖路,23.45,"31,500",2 / 5
69,2024/01/14,整層住家,無電梯公寓,台北市士林區承德路四段,32,"24,500",4 / 5
