id,time,type,building,address,area,price,floor,county
0,2024/02/01,分租套房,無電梯公寓,新北市中和區景安路,10坪,8500,4 / 5,中和區
1,2024/02/01,分租套房,無電梯公寓,新北市中和區景新街,5坪,4500,5 / 5,中和區
2,2024/01/31,車位,,新北市土城區學府路一段,10坪,3900,,土城區
3,2024/01/31,車位,,新北市土城區學府路一段,10坪,3900,,土城區
4,2024/01/29,廠辦,,新北市樹林區三龍街,65坪,60000,1 / ,樹林區
5,2024/01/29,整層住家,電梯大樓,新北市新莊區新泰路,36.81坪,30000,4 / 14,新莊區
6,2024/01/29,店面,電梯大樓,新北市蘆洲區九芎街,101坪,110000,1 / 6,蘆洲區
7,2024/01/28,整層住家,電梯大樓,新北市三峽區大觀路,23.59坪,26000,6 / 10,三峽區
8,2024/01/28,整層住家,電梯大樓,新北市三峽區大觀路,23.59坪,26000,6 / 10,三峽區
9,2024/01/27,整層住家,無電梯公寓,新北市中和區忠孝街,24.5坪,23500,4 / 5,中和區
10,2024/01/27,整層住家,電梯大樓,新北市土城區學府路二段,32.02坪,32500,3 / 15,土城區
11,2024/01/27,整層住家,電梯大樓,新北市淡水區中正東路二段,14.7坪,17000,6 / 7,淡水區
12,2024/01/26,廠辦,,新北市新莊區化成路,50坪,56000,1 / ,新莊區
13,2024/01/25,廠辦,,新北市樹林區中正路,115坪,92000,1 / ,樹林區
14,2024/01/25,廠房,,新北市三重區中興北街,120坪,110000,1 / 1,三重區
15,2024/01/24,辦公,電梯大樓,新北市三重區大智街,43.25坪,25000,1 / 7,三重區
16,2024/01/24,廠辦,,新北市樹林區三德街,135坪,60000,1 / ,樹林區
17,2024/01/23,分租套房,無電梯公寓,新北市三重區光明路,7坪,7500,5 / 5,三重區
18,2024/01/23,廠辦,,新北市蘆洲區九芎街,101坪,110000,1 / ,蘆洲區
19,2024/01/22,整層住家,電梯大樓,新北市三峽區和平街,43.41坪,26000,4 / 7,三峽區
20,2024/01/22,整層住家,電梯大樓,新北市汐止區水源路二段,16.4坪,18000,13 / 16,汐止區
21,2024/01/21,分租套房,無電梯公寓,新北市中和區秀朗路三段,3.7坪,7300,1 / 4,中和區
22,2024/01/21,辦公,電梯大樓,新北市三重區重新路四段,33.92坪,28000,13 / 19,三重區
23,2024/01/21,住辦,電梯大樓,新北市三峽區大勇路,30坪,26000,1 / 7,三峽區
24,2024/01/21,廠辦,,新北市板橋區僑中一街,90坪,58000,1 / ,板橋區
25,2024/01/21,廠辦,,新北市樹林區田尾街,125坪,70000,1 / ,樹林區
26,2024/01/20,整層住家,無電梯公寓,新北市淡水區學府路,38.05坪,19000,-1 / 5,淡水區
27,2024/01/20,整層住家,電梯大樓,新北市淡水區濱海路三段,41.26坪,20500,5 / 10,淡水區
28,2024/01/20,獨立套房,無電梯公寓,新北市淡水區北新路,6.34坪,7000,3 / 3,淡水區
29,2024/01/20,整層住家,電梯大樓,新北市淡水區新市一路一段,40.27坪,24000,3 / 15,淡水區
30,2024/01/20,整層住家,電梯大樓,新北市淡水區新市三路一段,32.96坪,20000,8 / 20,淡水區
31,2024/01/19,獨立套房,無電梯公寓,新北市三重區仁華街,60坪,6200,6 / 6,三重區
32,2024/01/19,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,23000,2 / 8,蘆洲區
33,2024/01/19,獨立套房,無電梯公寓,新北市中和區華新街,10坪,9500,1 / 5,中和區
34,2024/01/18,整層住家,電梯大樓,新北市新莊區福美街,55.66坪,50000,16 / 19,新莊區
35,2024/01/18,整層住家,電梯大樓,新北市淡水區濱海路三段,41.26坪,20500,5 / 10,淡水區
36,2024/01/18,店面,無電梯公寓,新北市新莊區中正路,30坪,20000,1 / 4,新莊區
37,2024/01/17,店面,透天厝,新北市新莊區中正路,40坪,40000,1 / 2,新莊區
38,2024/01/17,店面,透天厝,新北市新莊區中正路,100坪,60000,1 / 2,新莊區
39,2024/01/15,整層住家,電梯大樓,新北市鶯歌區文化路,30坪,15000,4 / 8,鶯歌區
40,2024/01/15,整層住家,無電梯公寓,新北市三重區頂崁街,34坪,18000,4 / 5,三重區
41,2024/01/15,整層住家,電梯大樓,新北市三峽區民生街,27.86坪,28000,9 / 15,三峽區
42,2024/01/15,廠辦,,新北市中和區中正路,121.48坪,120000,5 / ,中和區
43,2024/01/15,分租套房,無電梯公寓,新北市新店區復興路,12坪,10000,3 / 5,新店區
44,2024/01/15,整層住家,電梯大樓,新北市淡水區北新路,31.78坪,23000,11 / 18,淡水區
45,2024/01/15,整層住家,電梯大樓,新北市淡水區北新路,31.78坪,23000,11 / 18,淡水區
46,2024/01/14,整層住家,無電梯公寓,新北市中和區仁愛街,15坪,18000,1 / 5,中和區
47,2024/01/14,整層住家,無電梯公寓,新北市新莊區自立街,32坪,20000,5 / 5,新莊區
48,2024/01/14,整層住家,無電梯公寓,新北市中和區仁愛街,15坪,18000,1 / 5,中和區
49,2024/01/14,分租套房,無電梯公寓,新北市中和區大勇街,8坪,8500,1 / 5,中和區
50,2024/01/13,辦公,透天厝,新北市中和區中板路,42坪,35000,2 / 3,中和區
51,2024/01/13,整層住家,無電梯公寓,新北市新莊區中原路,25坪,21000,3 / 5,新莊區
52,2024/01/13,辦公,無電梯公寓,新北市新莊區新泰路,2坪,3500,3 / 3,新莊區
53,2024/01/11,整層住家,電梯大樓,新北市三重區文化南路,23.22坪,24999,12 / 14,三重區
54,2024/01/10,獨立套房,電梯大樓,新北市汐止區建成路,8坪,8500,6 / 14,汐止區
55,2024/01/10,獨立套房,電梯大樓,新北市汐止區建成路,8坪,8500,6 / 14,汐止區
56,2024/01/10,整層住家,電梯大樓,新北市汐止區樟樹二路,25.8坪,29800,4 / 28,汐止區
